Title,Journal,Year,DOI,Cited
MORPHOLOGICAL ABNORMALITIES AND SENSILLA DAMAGE IN THE FRUIT FLY DROSOPHILA MELANOGASTER INDUCED BY UV-C RADIATION,Indian Journal of Entomology,2027,10.55446/IJE.2026.3606,0
A Sustainable Sufficiency Economy Model Based on Community Identity in Security-Challenged Areas: A Case Study of Thailand’s Southern Border Provinces,Journal of Population and Social Studies,2027,10.25133/JPSSv352027.010,0
Machine learning-guided catalyst selection for bio-oil hydrodeoxygenation to maximize hydrocarbon yields toward renewable naphtha and sustainable aviation fuel,Fuel,2026,10.1016/j.fuel.2026.139511,0
Troubleshooting the Pitfalls of TMP-SMX Susceptibility Interpretation in Nocardia Species,Clinical Infectious Diseases,2026,10.1093/cid/ciaf373,1
Cultural influences on vegetarian food consumption: insights from Germany and Thailand using the motivation-opportunity-ability model,British Food Journal,2026,10.1108/BFJ-12-2024-1326,0
AI-Supported Learning in Online Discussion Forums: A Scoping Review,Electronic Journal of E Learning,2026,10.34190/ejel.24.1.4409,1
"A study on Puju in Yuncheng City, Shanxi Province, China",Multidisciplinary Science Journal,2026,10.31893/multiscience.2026398,0
Development and Validation of an AI Literacy Scale for Pre-Service Teachers in Thailand,Electronic Journal of E Learning,2026,10.34190/ejel.24.1.3990,1
Identifying GFAP-expressing cell susceptibility to SARS-CoV-2 infection using human iPSC-derived neural cells,Scientific Reports,2026,10.1038/s41598-026-41177-z,0
"Comparative evaluation of stability, efficacy, and sterility in five repackaged intravitreal anti-vascular endothelial growth factor medications",Scientific Reports,2026,10.1038/s41598-026-39102-5,0
"Antioxidant and selective cytotoxic activity of Dipterocarpus obtusifolius flower extract against gastrointestinal cancer, with bioactive component profiling",BMC Complementary Medicine and Therapies,2026,10.1186/s12906-026-05247-z,0
Panduratin A from Boesenbergia rotunda suppresses hepatitis B virus by targeting HNF1α and synergizing with antiviral agents,Chinese Medicine United Kingdom,2026,10.1186/s13020-025-01285-w,0
MoVe: an integrated tool to explore the relationship between human mobility and vector-borne disease,Scientific Reports,2026,10.1038/s41598-026-39007-3,0
Age- and sex-specific reference values for plasma lipids and lipoproteins in thai adults: a national health examination survey analysis,Journal of Health Population and Nutrition,2026,10.1186/s41043-025-01176-8,1
Periodontitis awareness and knowledge levels among undergraduate dental students,BMC Oral Health,2026,10.1186/s12903-026-08054-7,0
Machine learning–based cfDNA fragmentation profiling using automated capillary electrophoresis for early detection of hepatocellular carcinoma,Communications Medicine,2026,10.1038/s43856-026-01437-5,0
Psychometric validation and cross-cultural adaptation of the dementia knowledge assessment Scale-Thai (DKAS-Thai),BMC Geriatrics,2026,10.1186/s12877-025-06935-0,0
New design of plate implant for bone healing assessment using frequency measurement: a biomechanical cadaveric study,Scientific Reports,2026,10.1038/s41598-025-32122-7,0
Hematological and clinical-chemistry parameters of kratom users: a comparative study of users and non-users in Southern Thailand,Scientific Reports,2026,10.1038/s41598-026-35524-3,0
Response surface optimization of abiotic elicitors for betalain production and antioxidant capacity in Celosia argentea cell suspension cultures,Scientific Reports,2026,10.1038/s41598-025-31876-4,0
Cannabidiol perturbs macrophage polarization by interfering with the metabolic flux and PI3K/Akt pathway,Scientific Reports,2026,10.1038/s41598-025-33360-5,0
